F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT
1,2,0.0575259116172393,0.0293244885684409,0,0,0,0,0,0,1,-360,360,3.91767706936879,2.43514092837795,-3.90543664551514,-2.42890123292111
2,3,0.307595167324284,0.156667639990117,0,0,0,0,0,0,1,-360,360,3.44429912285945,2.20782237882675,-3.39250789034282,-2.18144351780256
3,4,0.228356655660625,0.116299673811859,0,0,0,0,0,0,1,-360,360,2.36289513555253,1.68420046981303,-2.34299466005386,-1.67406536425852
4,5,0.237777927519847,0.121103898534774,0,0,0,0,0,0,1,-360,360,2.22299466218913,1.59406536106474,-2.20429572102322,-1.5845417072198
5,6,0.510994811437299,0.441115179103993,0,0,0,0,0,0,1,-360,360,2.14429571650953,1.55454171479751,-2.10604709480319,-1.52152367383733
6,7,0.116798814042811,0.386084968641515,0,0,0,0,0,0,1,-360,360,1.0952673241193,0.52788773266252,-1.0933528066887,-0.521559188933586
7,8,0.44386045037423,0.146684835371073,0,0,0,0,0,0,1,-360,360,0.893352843785554,0.421559174592425,-0.888514878965678,-0.419960347590523
8,9,0.642643047350938,0.461704713630771,0,0,0,0,0,0,1,-360,360,0.688514873713937,0.319960362040051,-0.684334336975509,-0.316956869626035
9,10,0.651378001392601,0.461704713630771,0,0,0,0,0,0,1,-360,360,0.624334336991499,0.296956871328237,-0.620773423027487,-0.29443285185183
10,11,0.122663711756499,0.040555143764865,0,0,0,0,0,0,1,-360,360,0.560773432216835,0.274432835725353,-0.560219730366575,-0.274249770515451
11,12,0.233597628085623,0.0772419507398506,0,0,0,0,0,0,1,-360,360,0.515219730873904,0.244249771730746,-0.514338596456897,-0.243958413715721
12,13,0.915922323797259,0.720633708437217,0,0,0,0,0,0,1,-360,360,0.454338586612726,0.208958433521914,-0.451672351066966,-0.206860680078214
13,14,0.337917936354629,0.444796338307266,0,0,0,0,0,0,1,-360,360,0.391672337248219,0.171860689540645,-0.39094317559698,-0.170900904937307
14,15,0.368739845615927,0.328184701851062,0,0,0,0,0,0,1,-360,360,0.270943190993023,0.0909009026531172,-0.270586217041477,-0.090583189796073
15,16,0.465635442949519,0.340039282336176,0,0,0,0,0,0,1,-360,360,0.2105862245094,0.0805831851560667,-0.21030475789448,-0.0803776387201408
16,17,0.804239697121708,1.07377542183589,0,0,0,0,0,0,1,-360,360,0.15030475345151,0.0603776408796549,-0.150053119401308,-0.0600416733075858
17,18,0.456713311321249,0.358133115708193,0,0,0,0,0,0,1,-360,360,0.0900531303726537,0.0400416689200301,-0.0899999945098706,-0.0400000022735309
2,19,0.102323747345198,0.0976443076800212,0,0,0,0,0,0,1,-360,360,0.361137523443861,0.161078852818749,-0.360976569246086,-0.160925259331237
19,20,0.938508419247846,0.845668336290739,0,0,0,0,0,0,1,-360,360,0.270976569246155,0.120925259331403,-0.270144392557084,-0.120175404069892
20,21,0.25549740571865,0.298485858109407,0,0,0,0,0,0,1,-360,360,0.180144392557008,0.080175404070116,-0.18004363449327,-0.0800576930623205
21,22,0.442300637152505,0.584805173089354,0,0,0,0,0,0,1,-360,360,0.0900436344937373,0.0400576930622101,-0.0899999999993293,-0.040000000000271
3,23,0.281515090257032,0.192356166503198,0,0,0,0,0,0,1,-360,360,0.939612756408655,0.4572430453986,-0.936431127342368,-0.455069073232961
23,24,0.560284909243827,0.442425422210243,0,0,0,0,0,0,1,-360,360,0.846431127256024,0.405069073367593,-0.841287451884436,-0.401007402759583
24,25,0.559037058666447,0.437434019900721,0,0,0,0,0,0,1,-360,360,0.421287452048177,0.201007402763788,-0.419999999747223,-0.200000000076066
6,26,0.126656833604117,0.0645138748505699,0,0,0,0,0,0,1,-360,360,0.950779747418281,0.973635936962345,-0.948178851104567,-0.972311145440975
26,27,0.177319567045764,0.0902819892734764,0,0,0,0,0,0,1,-360,360,0.888178853256618,0.947311143106242,-0.884849859646301,-0.94561619104638
27,28,0.660736880722955,0.582559042050069,0,0,0,0,0,0,1,-360,360,0.824849856989806,0.920616202297479,-0.813549001326388,-0.910652454485456
28,29,0.501760717164684,0.437122057256376,0,0,0,0,0,0,1,-360,360,0.753549008090149,0.890652448391288,-0.745715658609216,-0.883828219783551
29,30,0.316642084010292,0.161284687126425,0,0,0,0,0,0,1,-360,360,0.625715677071681,0.813828185330642,-0.621820008749213,-0.811843889249149
30,31,0.607952801299761,0.600840053008692,0,0,0,0,0,0,1,-360,360,0.421819976531768,0.211843963924251,-0.42022633857021,-0.210268970741801
31,32,0.193728802138317,0.225798561976995,0,0,0,0,0,0,1,-360,360,0.270226343342972,0.140268970235944,-0.27001314816585,-0.140020482845927
32,33,0.212758523443369,0.330805188063561,0,0,0,0,0,0,1,-360,360,0.0600131631818717,0.0400204765148596,-0.0599999945637581,-0.0400000014376634
21,8,1.24785057738046,1.24785057738046,0,0,0,0,0,0,0,-360,360,0,0,0,0
9,15,1.24785057738046,1.24785057738046,0,0,0,0,0,0,0,-360,360,0,0,0,0
12,22,1.24785057738046,1.24785057738046,0,0,0,0,0,0,0,-360,360,0,0,0,0
18,33,0.311962644345116,0.311962644345116,0,0,0,0,0,0,0,-360,360,0,0,0,0
25,29,0.311962644345116,0.311962644345116,0,0,0,0,0,0,0,-360,360,0,0,0,0
